# Version 1.00
#
freq[Hz],Trc1_S11[dB],Trc2_S21[dB],Trc3_S22[dB],
1.510000000000000E+010,-3.440764489473997E+000,-3.177553641027384E+001,-9.262965480239446E-001,
1.515000000000000E+010,-3.173636005043040E+000,-3.161773441101164E+001,-9.589543867390373E-001,
1.520000000000000E+010,-3.388785637608927E+000,-2.928881350740036E+001,-1.066858559788460E+000,
1.525000000000000E+010,-4.172645849120667E+000,-2.884890006716968E+001,-1.086025994201132E+000,
1.530000000000000E+010,-6.175811139745987E+000,-3.122096711470940E+001,-8.600156528911128E-001,
1.535000000000000E+010,-1.021196619715130E+001,-3.268519967498211E+001,-8.226869880437011E-001,
1.540000000000000E+010,-1.115829986034104E+001,-3.905040836498158E+001,-6.463917104395162E-001,
1.545000000000000E+010,-7.834855611773704E+000,-4.074153205112053E+001,-6.189270408295012E-001,
1.550000000000000E+010,-5.586767067511261E+000,-4.269460290317291E+001,-6.609629010176520E-001,
1.555000000000000E+010,-4.275333964217180E+000,-4.993782518183259E+001,-4.959194452037082E-001,
1.560000000000000E+010,-3.537620572251190E+000,-3.800390042728840E+001,-7.995301211409792E-001,
1.565000000000000E+010,-3.327040982212878E+000,-3.156526826906080E+001,-1.030243172663760E+000,
1.570000000000000E+010,-3.150768671439944E+000,-4.087616830875182E+001,-6.507269592611408E-001,
1.575000000000000E+010,-4.919731642889655E+000,-2.348561614114004E+001,-1.458646267951689E+000,
1.580000000000000E+010,-8.948847431286991E+000,-2.013651020069143E+001,-1.793902886060926E+000,
1.585000000000000E+010,-1.708710786854498E+001,-2.219758659424260E+001,-1.520501813097436E+000,
1.590000000000000E+010,-1.579034405906303E+001,-1.603904837979826E+001,-3.034118637648383E+000,
1.595000000000000E+010,-1.020772067419670E+001,-1.860496981436467E+001,-2.376439602514720E+000,
1.600000000000000E+010,-8.134371228803307E+000,-1.690257060736846E+001,-3.319637300593800E+000,
1.605000000000000E+010,-6.651208427801973E+000,-1.772817093491335E+001,-3.113890487952631E+000,
1.610000000000000E+010,-6.308491979825092E+000,-1.709636928293627E+001,-3.724885055751051E+000,
1.615000000000000E+010,-6.410615908552997E+000,-1.633899812546028E+001,-4.869732073898555E+000,
1.620000000000000E+010,-6.395586976356567E+000,-1.753632228484482E+001,-3.976817521820078E+000,
1.625000000000000E+010,-7.687090261946159E+000,-1.724472540569968E+001,-4.403942775067915E+000,
1.630000000000000E+010,-1.161916005574664E+001,-1.882137683912148E+001,-3.970011231124484E+000,
1.635000000000000E+010,-2.131186303763414E+001,-2.035611168133105E+001,-3.664063299804440E+000,
1.640000000000000E+010,-1.532743443135491E+001,-2.283355513627549E+001,-3.433905590702906E+000,
1.645000000000000E+010,-1.051219548516197E+001,-2.518614175445468E+001,-3.244379920745973E+000,
1.650000000000000E+010,-7.787804415804957E+000,-2.623388689454197E+001,-3.413124650636764E+000,
1.655000000000000E+010,-6.091624784113835E+000,-2.620483910376481E+001,-3.773639533905591E+000,
1.660000000000000E+010,-4.924417744297041E+000,-2.605198804924683E+001,-3.666685098338722E+000,
1.665000000000000E+010,-3.962711461298062E+000,-2.537245616417476E+001,-3.672840445588927E+000,
1.670000000000000E+010,-3.450890775847075E+000,-2.755048660982180E+001,-3.154713845906241E+000,
1.675000000000000E+010,-4.279836360422302E+000,-2.677237389607124E+001,-3.478683385685292E+000,
1.680000000000000E+010,-7.474588632388826E+000,-2.466991623622937E+001,-3.643684501299382E+000,
1.685000000000000E+010,-1.292047937890802E+001,-2.459904138187855E+001,-3.457457061589280E+000,
1.690000000000000E+010,-1.628499886500103E+001,-2.308475669606469E+001,-3.401527870929459E+000,
1.695000000000000E+010,-1.377224128820561E+001,-2.365914185320479E+001,-3.165539281110096E+000,
1.700000000000000E+010,-1.103866528321723E+001,-2.369065107202970E+001,-3.135699008220348E+000,
1.705000000000000E+010,-8.964881761212737E+000,-2.356136316716453E+001,-3.274704763342102E+000,
1.710000000000000E+010,-7.073457282882513E+000,-2.254179951378425E+001,-3.369671811406800E+000,
1.715000000000000E+010,-5.513301771649336E+000,-2.129868216892432E+001,-3.466332981774402E+000,
1.720000000000000E+010,-3.978244484797369E+000,-1.976933018553823E+001,-3.626608950941332E+000,
1.725000000000000E+010,-3.132623973909001E+000,-1.879959722976138E+001,-3.638974134614193E+000,
1.730000000000000E+010,-3.703998096121528E+000,-1.855232112261770E+001,-3.756838327851082E+000,
1.735000000000000E+010,-5.633579815057074E+000,-1.959447874243783E+001,-3.769050751767348E+000,
1.740000000000000E+010,-8.059969402766376E+000,-2.053616949920527E+001,-3.796628502101505E+000,
1.745000000000000E+010,-1.091087277170193E+001,-2.137521389745948E+001,-3.663854747724213E+000,
1.750000000000000E+010,-1.443493286250427E+001,-2.149462360230405E+001,-3.840132571675229E+000,
1.755000000000000E+010,-1.879932081205621E+001,-2.097565550840296E+001,-3.999611597490039E+000,
1.760000000000000E+010,-1.888379117850723E+001,-2.041108108554963E+001,-4.189276752594294E+000,
1.765000000000000E+010,-1.362091491476167E+001,-1.908729731546439E+001,-4.378696910952999E+000,
1.770000000000000E+010,-9.033506480155989E+000,-1.767522996233445E+001,-4.499954743576731E+000,
1.775000000000000E+010,-5.989228239030767E+000,-1.667440512386392E+001,-4.623445621474586E+000,
1.780000000000000E+010,-4.428506961609525E+000,-1.614252928803051E+001,-4.610273776180001E+000,
1.785000000000000E+010,-4.366325439656442E+000,-1.658652360172560E+001,-4.167115674517404E+000,
1.790000000000000E+010,-5.575231507302228E+000,-1.706792074574376E+001,-4.211701380554877E+000,
1.795000000000000E+010,-7.323480084735038E+000,-1.780419111894527E+001,-4.063857091068607E+000,
1.800000000000000E+010,-9.714834412724750E+000,-1.836205353268635E+001,-3.919967475314246E+000,
